week,ticker,net_val,n_fear,n_pairs,n_comments
2021-05-15,CRM,-0.5,0,1,1
2021-05-22,CRM,0.5,0,3,2
2021-06-05,CRM,0.5,0,1,1
2021-07-17,CRM,0.0,0,2,2
2021-08-21,CRM,1.0,0,2,1
2021-08-28,CRM,-0.75,0,4,3
2021-11-20,CRM,0.0,0,1,1
2021-12-04,CRM,-0.5,0,3,2
2021-12-11,CRM,1.0,0,2,1
2022-01-08,CRM,-1.0,0,2,1
2022-01-15,CRM,1.0,0,2,1
2022-04-30,CRM,0.5,0,5,2
2022-06-04,CRM,-1.75,0,3,1
2022-10-15,CRM,0.0,0,2,2
2022-10-22,CRM,1.0,0,2,2
2022-12-31,CRM,0.0,0,1,1
2023-02-11,CRM,-2.25,0,5,4
2023-02-25,CRM,-1.0,0,3,1
2023-05-27,CRM,0.0,0,1,1
2023-09-09,CRM,-0.5,0,2,1
2023-09-16,CRM,0.0,0,1,1
2023-11-04,CRM,-0.5,0,1,1
2023-11-11,CRM,-0.5,0,1,1
2024-02-10,CRM,-0.5,0,1,1
2024-02-24,CRM,-3.25,1,7,5
2024-05-25,CRM,0.0,0,1,1
2024-06-01,CRM,0.25,0,2,1
2024-06-15,CRM,-0.5,0,1,1
2024-07-27,CRM,0.5,0,1,1
2024-09-14,CRM,0.0,1,4,1
2024-12-14,CRM,0.5,0,1,1
2024-12-21,CRM,-0.5,1,2,1
2025-02-22,CRM,-1.25,0,2,2
2025-03-22,CRM,-1.0,0,2,1
2025-05-03,CRM,-2.0,0,3,1
2025-06-28,CRM,-0.5,0,3,2
2025-07-12,CRM,-0.5,0,1,1
2025-07-19,CRM,-0.5,0,1,1
2025-08-16,CRM,0.5,0,1,1
2025-09-06,CRM,-1.0,0,2,1
2025-09-13,CRM,-1.5,0,3,2
2025-10-25,CRM,-2.5,2,4,1
2026-01-17,CRM,-10.75,0,33,17
2026-01-31,CRM,-6.5,0,15,7
2026-02-07,CRM,-2.0,0,6,3
2026-02-14,CRM,-8.25,1,18,9
2026-02-21,CRM,-0.5,0,7,3
2026-03-14,CRM,-4.75,0,28,14
2026-03-28,CRM,-0.75,0,1,1
2026-04-04,CRM,-2.75,0,4,1
2026-05-02,CRM,0.5,0,3,1
2026-05-16,CRM,-0.5,0,1,1
2026-05-30,CRM,-0.5,0,1,1
2026-06-13,CRM,-12.75,0,29,17
2026-06-20,CRM,-1.0,0,3,3
2026-06-27,CRM,2.0,0,7,3
2026-07-11,CRM,0.5,0,1,1
2018-01-06,CSCO,-0.5,0,1,1
2018-02-17,CSCO,-0.5,1,4,2
2018-02-24,CSCO,-0.75,0,1,1
2018-03-10,CSCO,0.5,0,1,1
2018-03-17,CSCO,1.0,0,2,1
2018-03-24,CSCO,-1.5,0,2,1
2018-04-07,CSCO,0.0,1,2,1
2018-04-21,CSCO,0.0,0,4,2
2018-05-12,CSCO,-0.5,0,1,1
2018-07-07,CSCO,-0.5,0,1,1
2018-07-14,CSCO,0.5,0,1,1
2018-07-21,CSCO,-0.5,0,1,1
2018-07-28,CSCO,-1.75,1,3,3
2018-08-18,CSCO,-1.0,0,2,2
2018-09-15,CSCO,-0.75,0,2,2
2018-10-13,CSCO,-0.5,0,1,1
2018-12-15,CSCO,0.0,0,2,2
2018-12-29,CSCO,-2.5,0,5,2
2019-01-26,CSCO,-0.5,0,3,2
2019-02-02,CSCO,0.5,0,1,1
2019-03-09,CSCO,-0.25,0,1,1
2019-04-06,CSCO,0.5,0,1,1
2019-04-13,CSCO,0.0,0,2,2
2019-04-20,CSCO,0.0,0,2,2
2019-05-11,CSCO,-4.25,0,8,4
2019-05-18,CSCO,0.0,0,4,4
2019-05-25,CSCO,-0.5,0,1,1
2019-06-15,CSCO,0.0,0,1,1
2019-06-22,CSCO,0.5,0,2,1
2019-07-13,CSCO,-1.25,0,2,2
2019-09-21,CSCO,-0.5,0,1,1
2019-09-28,CSCO,-1.0,0,2,2
2019-11-09,CSCO,0.5,0,3,2
2019-11-16,CSCO,0.0,0,1,1
2019-12-28,CSCO,-1.0,0,2,2
2020-01-11,CSCO,-1.5,0,3,1
2020-01-25,CSCO,-0.5,0,3,3
2020-02-08,CSCO,-0.5,0,4,2
2020-02-15,CSCO,-1.0,1,2,2
2020-02-22,CSCO,0.0,0,1,1
2020-02-29,CSCO,-1.0,1,3,1
2020-03-07,CSCO,1.5,0,4,2
2020-03-14,CSCO,-1.25,2,9,5
2020-03-21,CSCO,-1.0,0,2,2
2020-04-11,CSCO,-2.0,0,4,2
2020-04-18,CSCO,0.0,0,2,2
2020-04-25,CSCO,0.75,0,1,1
2020-05-02,CSCO,-1.25,1,2,2
2020-05-16,CSCO,-0.5,0,1,1
2020-05-23,CSCO,-1.5,0,6,3
2020-05-30,CSCO,-0.5,0,1,1
2020-06-06,CSCO,-0.5,1,1,1
2020-06-13,CSCO,1.5,0,3,1
2020-06-20,CSCO,-0.5,0,3,1
2020-07-04,CSCO,-1.0,2,3,2
2020-07-11,CSCO,-8.75,0,15,5
2020-07-18,CSCO,-1.0,1,2,1
2020-07-25,CSCO,0.0,0,1,1
2020-08-01,CSCO,-1.0,0,2,2
2020-08-15,CSCO,-2.0,0,4,4
2020-08-22,CSCO,-1.0,0,3,3
2020-08-29,CSCO,-2.75,1,10,8
2020-09-05,CSCO,-2.75,2,5,3
2020-09-19,CSCO,-0.5,0,2,1
2020-09-26,CSCO,-1.5,0,5,2
2020-10-17,CSCO,1.0,0,4,2
2020-10-24,CSCO,0.25,0,3,3
2020-10-31,CSCO,-2.13,0,4,4
2020-11-21,CSCO,-0.5,0,1,1
2020-11-28,CSCO,-0.5,0,1,1
2020-12-05,CSCO,-2.75,2,5,5
2020-12-19,CSCO,-2.25,2,5,3
2020-12-26,CSCO,1.5,0,8,8
2021-01-02,CSCO,-1.0,0,2,1
2021-01-09,CSCO,-0.5,0,1,1
2021-01-16,CSCO,-1.0,0,3,3
2021-01-23,CSCO,-1.75,1,6,3
2021-02-06,CSCO,-4.0,0,8,4
2021-02-13,CSCO,-3.25,0,7,5
2021-02-20,CSCO,-8.0,0,15,5
2021-02-27,CSCO,-0.25,0,7,3
2021-03-06,CSCO,-0.75,0,4,4
2021-03-13,CSCO,-0.5,0,1,1
2021-03-27,CSCO,-0.5,0,1,1
2021-04-03,CSCO,-3.0,0,6,4
2021-04-10,CSCO,-1.0,1,3,3
2021-05-08,CSCO,0.5,0,2,2
2021-06-19,CSCO,-1.0,0,2,2
2021-07-24,CSCO,-1.0,0,2,1
2021-07-31,CSCO,1.0,0,2,2
2021-08-14,CSCO,-0.5,0,1,1
2021-08-21,CSCO,-0.5,1,1,1
2021-09-04,CSCO,-1.0,2,2,1
2021-09-11,CSCO,0.5,0,1,1
2021-11-06,CSCO,-3.63,0,7,4
2021-11-27,CSCO,-0.5,1,1,1
2021-12-04,CSCO,-1.0,0,2,2
2021-12-11,CSCO,-1.0,0,2,2
2022-01-01,CSCO,-1.5,0,3,2
2022-01-08,CSCO,-1.0,2,2,1
