date,n,dead,removed,dead_rate,removed_rate
2022-08-19,9605,4322,4043,0.44997397188964083,0.42092660072878707
2022-08-26,18184,8146,7688,0.4479762428508579,0.4227892652881654
2022-09-02,17927,5655,5218,0.3154459753444525,0.29106933675461594
2022-09-09,15900,4152,3650,0.2611320754716981,0.22955974842767296
2022-09-16,15288,4685,4251,0.3064495028780743,0.2780612244897959
2022-09-23,15346,6282,5830,0.40935748729310567,0.3799035579304053
2022-09-30,19442,7895,7297,0.40607962143812365,0.37532146898467234
2022-10-07,15365,5731,5302,0.37299056296778393,0.34506996420436054
2022-10-14,19818,7601,6959,0.3835402159652841,0.3511454233525078
2022-10-21,14512,5196,4749,0.35804851157662626,0.32724641675854466
2022-10-28,18305,6926,6297,0.378366566511882,0.34400437039060366
2022-11-04,16137,5875,5296,0.36407014934622295,0.3281898742021441
2022-11-11,16864,5420,4764,0.3213946869070209,0.2824952561669829
2022-11-18,13068,4482,4017,0.34297520661157027,0.3073921028466483
2022-11-25,11388,4381,3945,0.384703196347032,0.3464172813487882
2022-12-02,16602,5535,5029,0.33339356704011563,0.30291531140826405
2022-12-09,15081,5479,4937,0.3633048206352364,0.3273655593130429
2022-12-16,16663,5310,4746,0.3186701074236332,0.2848226609854168
2022-12-23,19226,5819,5173,0.3026630604389889,0.269062727556434
2022-12-30,17162,6302,5818,0.36720661927514275,0.33900477799790235
2023-01-06,17452,5687,5104,0.32586523034609216,0.2924593169837268
2023-01-13,18077,3508,2865,0.1940587486861758,0.15848868728218177
2023-01-20,21210,4499,3746,0.2121169259783121,0.17661480433757662
2023-01-27,18704,3514,2927,0.18787425149700598,0.15649059024807527
2023-02-03,22277,8419,7677,0.37792341877272523,0.3446155227364546
2023-02-10,17321,4271,3678,0.2465792968073437,0.21234339818717163
2023-02-17,15924,3111,2502,0.1953654860587792,0.15712132629992465
2023-02-24,14747,2377,1953,0.16118532582898218,0.1324337153319319
2023-03-03,21695,5517,4791,0.25429822539755703,0.22083429361604057
2023-03-10,18078,3813,3123,0.21091934948556257,0.17275141055426485
2023-03-17,24373,5777,4899,0.23702457637549748,0.20100110778320274
2023-03-24,21788,4101,3295,0.1882228749770516,0.1512300348815862
2023-03-31,19168,3714,3052,0.19376043405676127,0.1592237061769616
2023-04-07,14228,4203,3639,0.29540342985662077,0.2557632836660107
2023-04-14,13425,4357,3826,0.3245437616387337,0.28499068901303537
2023-04-21,14693,6757,6137,0.45987885387599536,0.4176818893350575
2023-04-28,10378,4552,4178,0.4386201580265947,0.4025823858161495
2023-05-05,11741,3007,2543,0.256111063793544,0.2165914317349459
2023-05-12,10774,3830,3296,0.355485427881938,0.3059216632634119
2023-05-19,11854,4752,4260,0.400877340981947,0.35937236375906867
2023-05-26,9168,3140,2774,0.3424956369982548,0.30257417102966844
2023-06-02,8499,2015,1680,0.2370867160842452,0.19767031415460642
2023-06-09,8438,839,796,0.09943114482104765,0.09433515050959942
2023-06-16,2786,289,282,0.1037329504666188,0.10122038765254845
2023-06-23,7630,676,642,0.08859764089121887,0.08414154652686763
2023-06-30,9904,1067,1028,0.10773424878836833,0.10379644588045234
2023-07-07,8205,863,829,0.10517976843388178,0.10103595368677636
2023-07-14,9656,800,776,0.08285004142502071,0.08036454018227009
2023-07-21,9244,806,784,0.08719169190826483,0.08481176979662484
2023-07-28,9328,925,912,0.09916380789022299,0.09777015437392796
2023-08-04,8117,674,658,0.08303560428729827,0.08106443267216952
2023-08-11,8756,758,741,0.08656920968478757,0.08462768387391503
2023-08-18,10655,955,928,0.08962928202721727,0.08709526044110746
2023-08-25,13208,1004,978,0.0760145366444579,0.07404603270745003
2023-09-01,11585,1198,1165,0.10340958135520069,0.10056107034958998
2023-09-08,12701,1299,1279,0.10227541138493032,0.100700732225809
2023-09-15,13627,1251,1237,0.09180303808615249,0.09077566595729067
2023-09-22,13153,1140,1113,0.08667224207405155,0.0846194784459819
2023-09-29,10020,865,846,0.08632734530938124,0.0844311377245509
2023-10-06,9689,1101,1080,0.11363401795850965,0.11146661162142636
2023-10-13,10498,1180,1163,0.11240236235473423,0.11078300628691179
2023-10-20,12937,1364,1343,0.10543402643580428,0.1038107752956636
2023-10-27,12933,1288,1273,0.09959019562359854,0.09843037191680198
2023-11-03,12164,1230,1214,0.10111805327195002,0.09980269648142058
2023-11-10,8085,854,842,0.10562770562770563,0.104143475572047
2023-11-17,14275,1376,1347,0.0963922942206655,0.09436077057793345
2023-11-24,10200,1140,1125,0.11176470588235295,0.11029411764705882
2023-12-01,12295,1269,1255,0.10321268808458724,0.10207401382675885
2023-12-08,11068,1121,1099,0.10128297795446332,0.0992952656306469
2023-12-15,15822,1924,1880,0.12160283150044242,0.11882189356592086
2023-12-22,15870,1558,1528,0.09817265280403277,0.0962822936357908
2023-12-29,9726,1136,1110,0.1168003290150113,0.11412708204811844
2024-01-05,12161,1400,1377,0.11512211166844832,0.11323081983389524
2024-01-12,15560,1585,1555,0.1018637532133676,0.09993573264781491
2024-01-19,15948,1752,1722,0.10985703536493605,0.10797592174567344
2024-01-26,15374,1760,1738,0.11447899050344738,0.11304800312215428
2024-02-02,13759,1643,1618,0.11941274801947815,0.11759575550548731
2024-02-09,12796,1552,1533,0.12128790246952173,0.11980306345733041
2024-02-16,16851,1800,1779,0.10681858643403952,0.10557236959230906
2024-02-23,13432,1581,1555,0.11770399047051816,0.11576831447290054
2024-03-01,12620,1407,1377,0.11148969889064976,0.10911251980982567
2024-03-08,15332,1569,1545,0.10233498565092616,0.10076963214192539
2024-03-15,15828,1421,1396,0.08977760929997473,0.08819812989638615
2024-03-22,13424,1253,1232,0.09334028605482718,0.09177592371871275
2024-03-29,12023,1277,1257,0.10621309157448225,0.10454961324128753
2024-04-05,16415,1642,1611,0.1000304599451721,0.09814194334450198
2024-04-12,14767,1333,1312,0.09026884268978128,0.08884675289496852
2024-04-19,12468,1201,1184,0.09632659608598011,0.09496310555020854
2024-04-26,12964,1307,1287,0.10081764887380439,0.09927491514964518
2024-05-03,20562,2549,2516,0.12396654021982298,0.12236163797295983
2024-05-10,15489,1615,1584,0.10426754470914842,0.10226612434631029
2024-05-17,13483,1398,1369,0.10368612326633539,0.10153526663205518
2024-05-24,21158,2539,2501,0.12000189053785802,0.11820587957273844
2024-05-31,16614,1875,1850,0.11285662694113398,0.1113518719152522
2024-06-07,20591,2600,2561,0.12626875819532807,0.12437472682239814
2024-06-14,17107,2223,2186,0.12994680540129772,0.12778394809142457
2024-06-21,13771,1246,1216,0.09047999419069058,0.088301503158812
2024-06-28,14725,1577,1558,0.10709677419354839,0.10580645161290322
2024-07-05,10439,1152,1132,0.1103553980266309,0.10843950569977967
2024-07-12,12443,1448,1419,0.11637065016475126,0.11404002250261192
2024-07-19,12253,1463,1438,0.11939933077613646,0.11735901411899127
2024-07-26,11188,1305,1284,0.11664283160529139,0.11476582052198785
2024-08-02,15647,2140,2107,0.13676743145650924,0.13465840097143222
2024-08-09,12175,1526,1494,0.1253388090349076,0.12271047227926078
2024-08-16,16680,2451,2408,0.14694244604316548,0.14436450839328538
2024-08-23,15862,1706,1680,0.10755264153322405,0.1059135039717564
2024-08-30,17988,2169,2143,0.12058038692461641,0.11913497887480543
2024-09-06,14657,1824,1805,0.12444565736508154,0.12314934843419527
2024-09-13,14585,1893,1874,0.1297908810421666,0.12848817278025368
2024-09-20,12592,1402,1385,0.11134053367217281,0.10999047013977128
2024-09-27,13215,1493,1474,0.11297767688233068,0.11153991676125614
2024-10-04,15274,1947,1922,0.127471520230457,0.12583475186591594
2024-10-11,8098,971,958,0.11990614966658435,0.11830081501605334
2024-10-18,11131,1129,1118,0.1014284430868745,0.10044021202048334
2024-10-25,12773,1524,1507,0.11931417834494637,0.11798324590934002
2024-11-01,12155,1352,1318,0.11122994652406418,0.10843274372686137
2024-11-08,11705,1401,1386,0.11969243912857754,0.11841093549765058
2024-11-15,14709,2121,2083,0.1441974301448093,0.14161397783669863
2024-11-22,9856,1203,1180,0.12205762987012987,0.11972402597402597
2024-11-29,14119,2074,2056,0.14689425596713648,0.14561937814292797
2024-12-06,9012,1117,1105,0.12394584997780737,0.12261429205503772
